,Asset Id,Address,Latitude,Longitude,proposed_MoO
1407,2546,N Miami Blvd & NE 2 Av,25.889912,-80.194435,NO SCOOT
1408,2547,N Miami Av & N Miami Blvd,25.889729,-80.19867,NO SCOOT
1409,2551,W Dixie Hwy & NE 7 Av & NE 128 St,25.892797,-80.18456,NO SCOOT
1410,3408,N Miami Blvd & NE 9 Av,25.890532,-80.1804,NO SCOOT
1411,3488,N Miami Blvd & NE 14 Av,25.89083,-80.170876,NO SCOOT
1412,3946,N Miami Blvd / NE 4 Ct / NE 5 Av,25.890144,-80.18906,NO SCOOT
1413,4486,N Miami Blvd & NE 12 Av,25.890766,-80.17437,NO SCOOT
1414,4672,N Miami Blvd & NE 14 Av Rd,25.890251,-80.169525,NO SCOOT
1415,5454,N Miami Blvd & NW 2 Av,25.889553,-80.20275,SCOOT
1416,6456,W Dixie Hwy & NE 130 St,25.895052,-80.18267,NO SCOOT
1417,3180,W 8 Av / W 40 Pl / W 43 Pl,25.861486,-80.298676,NO SCOOT
1418,3820,W 8 Av & W 33 St,25.851599,-80.29836,SCOOT
1419,4262,W 8 Av & W 44 Pl,25.862537,-80.2987,SCOOT
1420,4817,W 8 Av & W 37 St,25.855259,-80.29849,SCOOT
1421,6403,NW 38 Ct & NW 25 St,25.798773,-80.25903,NO SCOOT
1422,6930,NW 39 Av & NW 25 St,25.798677,-80.25993,SCOOT
1423,2831,Palm Av / 45 St / 45 Pl,25.863373,-80.28292,NO SCOOT
1424,2874,Palm Av & 32 St,25.851173,-80.28246,NO SCOOT
1425,2877,Palm Av & 41 St,25.8595,-80.282776,NO SCOOT
1426,3624,Coral Way & SR- 826 SB,25.748112,-80.321075,SCOOT
1427,3694,Coral Way & SW 62 Av,25.748209,-80.295456,SCOOT
1428,3744,Red Rd & SW 16 St,25.75629,-80.287575,SCOOT
1429,4351,Coral Way & SW 72 Av,25.748089,-80.311554,SCOOT
1430,4505,Coral Way & SW 79 Av,25.747988,-80.32364,SCOOT
1431,4573,SW 72 Av @ SW 2600 Blk,25.746168,-80.31147,NO SCOOT
1432,5114,Coral Way & SW 74 Av,25.748104,-80.31561,SCOOT
1433,6418,SW 70 Av & SW 16 St,25.755684,-80.30837,SCOOT
1434,6922,Coral Way & SW 70 Ct,25.748055,-80.30955,SCOOT
1435,2926,Red Rd / SW 83 St / SW 84 St,25.693935,-80.28502,NO SCOOT
1436,3460,Kendall Dr -W leg & Red Rd,25.688437,-80.28472,NO SCOOT
1437,3462,Kendall Dr -E leg & Red Rd,25.689672,-80.28485,NO SCOOT
1438,3789,Red Rd & SW 80 St,25.697016,-80.28513,NO SCOOT
1439,4366,SW 62 Av & SW 80 St,25.696709,-80.293144,NO SCOOT
1440,3267,SW 104 Av & SW 48 St,25.722906,-80.36327,NO SCOOT
1441,3304,SW 48 St / SW 93 Ct / SW 94 Av,25.724314,-80.34705,NO SCOOT
1442,3579,SW 97 Av & SW 48 St,25.723372,-80.35126,NO SCOOT
1443,4115,SW 102 Av & SW 48 St,25.723074,-80.359245,NO SCOOT
1444,4117,SW 92 Av & SW 48 St,25.72455,-80.34432,NO SCOOT
1445,5222,SW 117 Av & SW 47 Ter,25.722916,-80.38286,SCOOT
1446,5577,SW 117 Av @ SW 4900 Blk,25.721388,-80.3828,NO SCOOT
1447,2937,SW 92 Av / SW 52 Ter / SW 53 St,25.71933,-80.343056,NO SCOOT
1448,2970,Galloway Rd & Miller Rd,25.716707,-80.334915,SCOOT
1449,3134,SW 102 Av / SW 53 St / Miller Dr,25.717371,-80.358955,NO SCOOT
1450,3524,Miller Dr & SW 92 Av,25.71637,-80.34292,SCOOT
1451,3525,Miller Dr & SW 97 Av,25.716093,-80.350876,SCOOT
1452,3526,Miller Dr & SW 102 Av,25.715757,-80.35889,SCOOT
1453,3527,Miller Dr & SW 107 Av,25.715422,-80.366905,SCOOT
1454,3528,Miller Dr & SW 112 Av,25.715122,-80.37492,SCOOT
1455,3955,Galloway Rd & SW 48 St,25.72406,-80.335304,NO SCOOT
1456,4118,SW 107 Av & SW 48 St,25.722708,-80.367294,NO SCOOT
1457,4304,Miller Dr & SW 93 Av,25.7163,-80.3449,SCOOT
1458,4478,Galloway Rd @ SW 6000 Blk,25.712297,-80.33469,NO SCOOT
1459,4796,SW 107 Av & SW 64 St,25.70827,-80.36654,NO SCOOT
1460,5499,SW 97 Av & SW 64 St,25.708872,-80.3505,NO SCOOT
1461,5655,Miller Dr @ SW 9400 Blk,25.716246,-80.34716,SCOOT
1462,6570,SW 102 Av & SW 64 St,25.708565,-80.35851,NO SCOOT
1463,2056,NW 27 Av & NW 36 St,25.809088,-80.24024,SCOOT
1464,2057,NW 32 Av & NW 36 St,25.808844,-80.248375,SCOOT
1465,2451,NW 32 Av / NW 34 St / NW 35 St,25.807447,-80.24832,NO SCOOT
1466,2478,NW 27 Av & NW 38 St,25.810959,-80.2403,SCOOT
1467,2479,NW 27 Av & NW 28 St,25.801683,-80.24003,SCOOT
1468,2480,NW 27 Av & NW 41 St,25.812817,-80.24038,SCOOT
1469,3603,NW 32 Av & NW 28 St,25.80145,-80.248184,NO SCOOT
1470,3605,North River Dr & NW 32 Av,25.799541,-80.248116,NO SCOOT
1471,3819,NW 27 Av & NW 34 St,25.807232,-80.24018,SCOOT
1472,4707,NW 32 Av & NW 33 St,25.806046,-80.248245,NO SCOOT
1473,5871,NW 30 Av & NW 36 St,25.808968,-80.2443,SCOOT
1474,2996,Ludlam Rd / SW 73 St / SW 74 St,25.702423,-80.30133,NO SCOOT
1475,3004,Ludlam Rd & Sunset Dr,25.703756,-80.30141,SCOOT
1476,3590,Sunset Dr & SW 72 Av,25.703365,-80.30961,SCOOT
1477,3781,SR- 826 NB & Sunset Dr,25.703041,-80.31697,SCOOT
1478,3782,SR- 826 SB & Sunset Dr,25.702995,-80.3179,SCOOT
1479,4283,Sunset Dr & SW 77 Ct,25.70296,-80.31881,SCOOT
1480,2925,Red Rd / SW 44 St / SW 45 St,25.729801,-80.286354,NO SCOOT
